sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.312223088151082;0.531166666666667;0.4216948774
BC3NET;0.296778751862224;0.498555555555556;0.3976671537
C3NET;0.299028186068135;0.515611111111111;0.4073196485
CLR;0.325231142425601;0.525666666666667;0.4254489045
CMI2NI;0.357904278284712;0.579888888888889;0.4688965835
GENIE3_ET;0.354386471571245;0.627666666666667;0.4910265691
GENIE3_RF;0.327921808159542;0.579;0.453460904
GRNBOOST2;0.298692319951973;0.546111111111111;0.4224017155
GRNVBEM;0.323230952290979;0.526444444444444;0.4248376983
INFERELATOR;0.3005750675613;0.498055555555556;0.3993153115
JUMP3;0.312925302117463;0.599666666666667;0.4562959843
KBOOST;0.309823560956776;0.523888888888889;0.4168562249
LEAP;0.321697767386365;0.537333333333333;0.4295155503
LOCPCACMI;0.316932553988535;0.518333333333333;0.4176329436
MEOMI;0.291542457669979;0.486388888888889;0.3889656732
MRNETB;0.303298477752075;0.535666666666667;0.4194825722
MRNET;0.304224558433827;0.5255;0.4148622792
NARROMI;0.2614219503715;0.471;0.3662109751
NONLINEARODES;0.397357395982172;0.608111111111111;0.5027342535
PCACMI;0.347834410177554;0.591777777777778;0.4698060939
PCIT;0.285714285714286;0.5;0.3928571428
PIDC;0.350163875777986;0.594944444444444;0.4725541601
PLSNET;0.316373458249127;0.5595;0.4379367291
PUC;0.361995438109276;0.596333333333333;0.4791643857
RSNET;0.312963046990229;0.570055555555556;0.4415093012
TIGRESS;0.332925627780195;0.584111111111111;0.4585183694
BEST_GENECI;0.376347821000666;0.661;0.5186739105003331
MEDIAN_GENECI;0.351785121161649;0.625444444444444;0.4886147828030465
MEAN;0.355459415905355;0.626444444444444;0.4909519301748995
MEDIAN;0.340958646505372;0.594944444444444;0.467951545474908
