D3_50_Ecoli2;D3_50_Ecoli2;D3_50_Ecoli2;D3_50_Ecoli2
Technique;AUPR;AUROC;Mean
ARACNE;0.0424450602774929;0.5390419001318392;0.2907434802
BC3NET;0.0372264584699791;0.5271532012195121;0.2821898298
C3NET;0.0391261607824842;0.5209243160843771;0.2800252384
CLR;0.0605527937506943;0.6269904622610414;0.343771628
CMI2NI;0.0650294070674999;0.6370200230718523;0.351024715
GENIE3_ET;0.0740919859766428;0.6384620138431114;0.3562769999
GENIE3_RF;0.0778153743555947;0.6330493984838497;0.3554323864
GRNBOOST2;0.0785548935371951;0.6331832976268952;0.3558690955
GRNVBEM;0.0646070789519929;0.5685924110085695;0.3165997449
INFERELATOR;0.0606349964501558;0.5591164716545813;0.309875734
KBOOST;0.0378620596334114;0.5279849208965062;0.2829234902
LEAP;0.0556322219859795;0.5990930908042187;0.3273626563
LOCPCACMI;0.0534430399598624;0.5971798780487803;0.325311459
MEOMI;0.0308777819888667;0.485322593935399;0.2581001879
MRNETB;0.0570357290550464;0.6401048533289386;0.3485702911
MRNET;0.0557080283090687;0.6237253831575478;0.3397167057
NARROMI;0.046925284611326;0.5465763019116678;0.2967507932
NONLINEARODES;0.0431198712176747;0.531126400791035;0.287123136
PCACMI;0.0283726555131548;0.4166580833882662;0.2225153694
PCIT;0.0676868015523887;0.5953155899802242;0.3315011957
PIDC;0.0480663711869999;0.5756942155570205;0.3118802933
PLSNET;0.0327143144317499;0.4722056278839814;0.2524599711
PUC;0.0665980409609214;0.5883631344759392;0.3274805877
RSNET;0.0497669257371798;0.5979317732366513;0.3238493494
TIGRESS;0.0243431891318079;0.3791663233355307;0.2017547562
BEST_GENECI;0.0858834691416766;0.6234756097560976;0.3546795394488871
MEDIAN_GENECI;0.0671561714078194;0.6367470748187212;0.3519516231132703
MEAN;0.06338996952171741;0.6420978905735004;0.3527439300476089
MEDIAN;0.05259531209616548;0.6252265985497691;0.33891095532296733
