sim_eipo-modular_size-20_overexpression_exp;sim_eipo-modular_size-20_overexpression_exp;sim_eipo-modular_size-20_overexpression_exp;sim_eipo-modular_size-20_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.251387632298387;0.569920440636475;0.4106540364
BC3NET;0.359525397351217;0.606487148102815;0.4830062727
C3NET;0.23321384899224;0.538402692778458;0.3858082708
CLR;0.355843335577524;0.699127906976744;0.5274856212
CMI2NI;0.394543548882508;0.686429008567931;0.5404862787
GENIE3_ET;0.345638498917294;0.734700122399021;0.5401693106
GENIE3_RF;0.318502608868073;0.732864137086903;0.5256833729
GRNBOOST2;0.201480817360385;0.571144430844553;0.3863126241
GRNVBEM;0.154168292534422;0.435893512851897;0.2950309026
INFERELATOR;0.465733386715645;0.75;0.6078666933
JUMP3;0.187486398883858;0.550336597307222;0.368911498
KBOOST;0.376840520342696;0.699510403916769;0.5381754621
LEAP;0.34692241640167;0.670440636474908;0.5086815264
LOCPCACMI;0.311019572540435;0.655676254589963;0.4833479135
MEOMI;0.310180276345181;0.586597307221542;0.4483887917
MRNETB;0.334090410028679;0.679467564259486;0.5067789871
MRNET;0.309010637877166;0.692778457772338;0.5008945478
NARROMI;0.254847518662475;0.558445532435741;0.4066465255
NONLINEARODES;0.247144781205267;0.660648714810282;0.453896748
PCACMI;0.419243208711367;0.676790085679315;0.5480166471
PCIT;0.180952380952381;0.5;0.3404761904
PIDC;0.176934018829475;0.501223990208078;0.3390790045
PLSNET;0.312395526862609;0.681456548347613;0.4969260376
PUC;0.188267250833356;0.504130966952264;0.3461991088
RSNET;0.259504162628775;0.582236842105263;0.4208705023
TIGRESS;0.390260436503069;0.736153610771114;0.5632070236
BEST_GENECI;0.339437625317928;0.75734394124847;0.548390783283199
MEDIAN_GENECI;0.324958954263189;0.731487148102815;0.528223051183002
MEAN;0.375975458498284;0.712668298653611;0.5443218785759475
MEDIAN;0.408039281556509;0.731946144430844;0.5699927129936765
