sim_eipo-modular_size-100_overexpression_exp;sim_eipo-modular_size-100_overexpression_exp;sim_eipo-modular_size-100_overexpression_exp;sim_eipo-modular_size-100_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.126679329781344;0.608571804939009;0.3676255673
BC3NET;0.173010008356541;0.641312203901966;0.4071611061
C3NET;0.108685906275371;0.582832259297945;0.3457590827
CLR;0.217937762026397;0.819235064535383;0.5185864132
CMI2NI;0.201324218833888;0.823488267989704;0.5124062434
GENIE3_ET;0.226225408766623;0.851985955160965;0.5391056819
GENIE3_RF;0.214647542856857;0.86168258290745;0.5381650628
GRNBOOST2;0.2118175163866;0.853312567612937;0.5325650419
GRNVBEM;0.036488531730968;0.497314134367889;0.266901333
INFERELATOR;0.159014822716318;0.679578211847652;0.4192965172
KBOOST;0.129861801265512;0.67652105793263;0.4031914295
LEAP;0.147458957794841;0.753202871451487;0.4503309146
LOCPCACMI;0.2001705511195;0.833031600887828;0.516601076
MEOMI;0.0783656914453872;0.557663343529675;0.3180145174
MRNETB;0.206817624064807;0.79968618271347;0.5032519033
MRNET;0.203173848362336;0.790898832394524;0.4970363403
NARROMI;0.122629744948367;0.612799362106912;0.3677145535
NONLINEARODES;0.0734075531124352;0.670924338792107;0.3721659459
PCACMI;0.189092726308077;0.813874990674078;0.5014838584
PCIT;0.0348514851485149;0.5;0.2674257425
PIDC;0.146850692234175;0.75668901779386;0.451769855
PLSNET;0.126537061073132;0.783144910844182;0.4548409859
PUC;0.182001755390086;0.75359630879994;0.467799032
RSNET;0.209330987174192;0.754033461409333;0.4816822242
TIGRESS;0.239096781054578;0.843321590442795;0.5412091857
BEST_GENECI;0.243226257760582;0.863019687022046;0.553122972391314
MEDIAN_GENECI;0.233233851508771;0.860332655649644;0.5467832535792075
MEAN;0.244939816886436;0.854977244749506;0.549958530817971
MEDIAN;0.230233935807555;0.846231278210915;0.538232607009235
