D3_100_Yeast3;D3_100_Yeast3;D3_100_Yeast3;D3_100_Yeast3
Technique;AUPR;AUROC;Mean
ARACNE;0.0640318227650178;0.5125637242179109;0.2882977734
BC3NET;0.0565678045807118;0.5052613913500268;0.2809145979
C3NET;0.0638113326768151;0.5107714578400517;0.2872913952
CLR;0.069260527746832;0.5284004092948205;0.2988304685
CMI2NI;0.0546655522731957;0.4979460520540547;0.2763058021
GENIE3_ET;0.0653271835839148;0.520433195588142;0.2928801895
GENIE3_RF;0.0708147344928189;0.5226508886399335;0.2967328115
GRNBOOST2;0.0720672537145515;0.5279557641674459;0.3000115089
GRNVBEM;0.0644677957949073;0.5271996442062477;0.29583372
INFERELATOR;0.063294499737912;0.5125330523427198;0.287913776
KBOOST;0.0516086724312803;0.4720630660344117;0.2618358692
LEAP;0.0566841090385398;0.5002952653301622;0.2784896871
LOCPCACMI;0.0545376329064013;0.495930638077891;0.2752341354
MEOMI;0.0566690082723171;0.503816027763095;0.280242518
MRNETB;0.0658172822023571;0.5245505065809614;0.2951838943
MRNET;0.0671256188119253;0.5283577016205037;0.2977416602
NARROMI;0.061488402072768;0.5172891342552626;0.2893887681
NONLINEARODES;0.0440683530565934;0.420898883951407;0.2324836185
PCACMI;0.0541652070197865;0.4842650368382813;0.2692151219
PCIT;0.0563590167028479;0.5084470926653646;0.2824030546
PIDC;0.0711827018550687;0.5199028439234451;0.2955427728
PLSNET;0.068980419606622;0.5445711848603626;0.3067758022
PUC;0.0713087477655958;0.5210780814703245;0.2961934146
RSNET;0.0612108240056928;0.50590016226975;0.2835554931
TIGRESS;0.0509912628868582;0.4907658243095575;0.2708785435
BEST_GENECI;0.0697154189416341;0.5199018732944838;0.2948086461180589
MEDIAN_GENECI;0.0588080020758717;0.514632522786971;0.2867202624314213
MEAN;0.06436063939835686;0.5207628211835499;0.2925617302909534
MEDIAN;0.06653108351404498;0.524057135879707;0.29529410969687603
