D3_100_Yeast2;D3_100_Yeast2;D3_100_Yeast2;D3_100_Yeast2
Technique;AUPR;AUROC;Mean
ARACNE;0.0529739576730932;0.521588046204922;0.2872810019
BC3NET;0.0441043152970793;0.5167385673576721;0.2804214413
C3NET;0.0507037882358779;0.5165397716998772;0.2836217799
CLR;0.0556828230753985;0.521017741870528;0.2883502824
CMI2NI;0.0426623662848121;0.4785080406153988;0.2605852034
GENIE3_ET;0.0529956188702505;0.535504688253001;0.2942501535
GENIE3_RF;0.0590880812953333;0.5549001710642716;0.3069941261
GRNBOOST2;0.0558457909293413;0.5486760155133591;0.3022609032
GRNVBEM;0.0661116754769823;0.5519402645401251;0.30902597
INFERELATOR;0.0560377428798763;0.532402205645256;0.2942199742
KBOOST;0.0389107630161229;0.4691823484591919;0.2540465557
LEAP;0.0372706673166304;0.4734017896744643;0.2553362284
LOCPCACMI;0.0413991234299291;0.4630619828914105;0.2522305531
MEOMI;0.03939527200753;0.5012268300349834;0.270311051
MRNETB;0.0482153506357288;0.5115570416503255;0.2798861961
MRNET;0.0500095615415873;0.5130452386480381;0.2815274
NARROMI;0.0488064495742419;0.5174177971170711;0.2831121233
NONLINEARODES;0.0443450307852136;0.5321188103397527;0.2882319205
PCACMI;0.0371889078965755;0.4755340791977034;0.2563614935
PCIT;0.0432262336925454;0.4909014835751002;0.2670638586
PIDC;0.0566991010422877;0.5394797905496517;0.2980894457
PLSNET;0.0461959043682613;0.544729563576635;0.2954627339
PUC;0.0554258232432675;0.5356849692914092;0.2955553962
RSNET;0.043826453922695;0.49228643116251;0.2680564425
TIGRESS;0.0403014768926679;0.5154402465660789;0.2778708617
BEST_GENECI;0.0583894742064619;0.5355565832445669;0.2969730287255144
MEDIAN_GENECI;0.0557725676252473;0.519796993279869;0.2877847804525582
MEAN;0.055640442103499284;0.5200483596452655;0.2878444008743824
MEDIAN;0.05290346813302226;0.5168933063299184;0.2848983872314703
