sim_scale-free_size-200_overexpression_exp;sim_scale-free_size-200_overexpression_exp;sim_scale-free_size-200_overexpression_exp;sim_scale-free_size-200_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.050248654577732;0.552234888184382;0.3012417713
BC3NET;0.07070419324575;0.580733556230749;0.3257188747
C3NET;0.0436642747942877;0.538271307365375;0.290967791
CLR;0.108269266425902;0.706087654107029;0.4071784602
GENIE3_ET;0.0738269632350392;0.684791903686644;0.3793094334
GENIE3_RF;0.0963453190364241;0.683431782997453;0.389888551
GRNBOOST2;0.0966811214307618;0.690599950704487;0.393640536
INFERELATOR;0.0638387149155089;0.59612802351196;0.3299833692
KBOOST;0.0469374372485511;0.5935400090565;0.3202387231
LEAP;0.0576879669958592;0.675234599930956;0.3664612834
MEOMI;0.0336537350853669;0.53280753140247;0.2832306332
MRNETB;0.0789363733316955;0.702431253709981;0.3906838135
MRNET;0.0834929835453411;0.705897067575237;0.3946950255
NARROMI;0.0424553655834792;0.543984156062456;0.2932197608
PCACMI;0.0520810620775314;0.707708051056176;0.3798945565
PCIT;0.0199502487562189;0.5;0.2599751243
PIDC;0.071075896357765;0.677470494533756;0.3742731954
PLSNET;0.0428322432187065;0.57479897899801;0.3088156111
PUC;0.0751652666839453;0.678581226004991;0.3768732463
RSNET;0.0717318370376391;0.679784244146221;0.3757580405
BEST_GENECI;0.094793051652518;0.738523950036579;0.4166585008445485
MEDIAN_GENECI;0.0713193308648457;0.690976756291919;0.3811480435783823
MEAN;0.0859458489646995;0.704970656256967;0.3954582526108332
MEDIAN;0.0937329905507604;0.722923325221643;0.4083281578862017
