sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp;sim_BioGrid_Human_Herpesvirus_8_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.274207235515729;0.759071814310656;0.5166395249
BC3NET;0.135990732435675;0.617508257045861;0.3767494947
C3NET;0.271195500010032;0.748667374608873;0.5099314373
CLR;0.288951818440502;0.794612952872224;0.5417823856
KBOOST;0.0083165943471212;0.513538078598158;0.2609273364
LEAP;0.0951218310188723;0.625806380209498;0.3604641056
MRNETB;0.141385732932902;0.789080761270376;0.4652332471
MRNET;0.235378748150213;0.790036521352756;0.5127076347
NARROMI;0.0936190446575107;0.545789078076508;0.3197040613
PCIT;0.0014610533233907;0.5;0.2507305266
PIDC;0.134389195024486;0.805951405205074;0.4701703001
PUC;0.12780548935667;0.806061817700814;0.4669336535
RSNET;0.155354290649591;0.791780574536174;0.4735674325
BEST_GENECI;0.281350804000108;0.820579076881986;0.5509649404410469
MEDIAN_GENECI;0.226542860406063;0.801547056881566;0.5140449586438145
MEAN;0.220316219351142;0.818270855700696;0.519293537525919
MEDIAN;0.244055058601158;0.779649066167375;0.5118520623842665
