D3_10_Yeast1;D3_10_Yeast1;D3_10_Yeast1;D3_10_Yeast1
Technique;AUPR;AUROC;Mean
ARACNE;0.1546482690152746;0.6268750000000001;0.3907616345
BC3NET;0.2409337131744374;0.5706249999999999;0.4057793565
C3NET;0.1368215935520349;0.5718749999999999;0.3543482967
CLR;0.1724433136950888;0.5787500000000001;0.3755966568
CMI2NI;0.1536165128535777;0.575;0.3643082564
GENIE3_ET;0.1161813217545167;0.51125;0.3137156608
GENIE3_RF;0.1050865378455695;0.47875;0.2919182689
GRNBOOST2;0.1034963500667652;0.46875;0.286123175
GRNVBEM;0.1002491591584398;0.4625;0.2813745795
INFERELATOR;0.1073614303636976;0.489375;0.2983682151
JUMP3;0.0909587438544505;0.3687500000000001;0.2298543719
KBOOST;0.0928177038261935;0.34375;0.2182838519
LEAP;0.1587675955443012;0.565;0.3618837977
LOCPCACMI;0.1533258950859965;0.5487500000000001;0.3510379475
MEOMI;0.112825306203933;0.491875;0.3023501531
MRNETB;0.1285032966966955;0.54875;0.3386266483
MRNET;0.1263807212605306;0.5206249999999999;0.3235028606
NARROMI;0.1255773844453642;0.5312500000000001;0.3284136922
NONLINEARODES;0.1238170760517223;0.5625;0.343158538
PCACMI;0.0854508247581578;0.3900000000000001;0.2377254123
PCIT;0.1693588576976446;0.563125;0.3662419288
PIDC;0.2151249567019387;0.4525;0.3338124783
PLSNET;0.1744271583587338;0.5775000000000001;0.3759635791
PUC;0.2145267688502131;0.4599999999999999;0.3372633844
RSNET;0.1379416480785578;0.5431249999999999;0.340533324
TIGRESS;0.2420468643582978;0.67625;0.4591484321
BEST_GENECI;0.127539271021896;0.4850000000000001;0.306269635510948
MEDIAN_GENECI;0.1213114757727432;0.4775;0.2994057378863716
MEAN;0.12778792686593618;0.485;0.3063939634329681
MEDIAN;0.13876611727879637;0.5525;0.3456330586393982
