D3_10_Ecoli2;D3_10_Ecoli2;D3_10_Ecoli2;D3_10_Ecoli2
Technique;AUPR;AUROC;Mean
ARACNE;0.1851768407489128;0.524;0.3545884203
BC3NET;0.2157713686926967;0.4804444444444444;0.3481079065
C3NET;0.1832158623813559;0.5217777777777778;0.35249682
CLR;0.1598893220421028;0.4542222222222222;0.3070557721
CMI2NI;0.2669931642307326;0.5511111111111111;0.4090521376
GENIE3_ET;0.219110863585931;0.6506666666666667;0.4348887651
GENIE3_RF;0.2391566998576899;0.6897777777777778;0.4644672388
GRNBOOST2;0.3019961721700643;0.6933333333333334;0.4976647527
GRNVBEM;0.1666594159883451;0.5155555555555555;0.3411074857
INFERELATOR;0.2373694299405671;0.6471111111111111;0.4422402705
JUMP3;0.241650959219278;0.6897777777777778;0.4657143684
KBOOST;0.2392471847713079;0.6479999999999999;0.4436235923
LEAP;0.1820285827342181;0.5591111111111111;0.3705698469
LOCPCACMI;0.148172495756838;0.4679999999999999;0.3080862478
MEOMI;0.1808757720810926;0.5213333333333334;0.3511045527
MRNETB;0.1685035826719447;0.463111111111111;0.3158073468
MRNET;0.1785155218246747;0.5115555555555555;0.3450355386
NARROMI;0.1752143452693699;0.5297777777777778;0.3524960615
NONLINEARODES;0.1846288056888941;0.5413333333333334;0.3629810695
PCACMI;0.1413206863078764;0.368;0.2546603431
PCIT;0.162616116084403;0.4862222222222222;0.3244191691
PIDC;0.1967015627765632;0.615111111111111;0.4059063369
PLSNET;0.3200360359662668;0.6462222222222223;0.483129129
PUC;0.204720699369936;0.624;0.4143603496
RSNET;0.1624736248585699;0.5315555555555556;0.3470145902
TIGRESS;0.4300956559875;0.6568888888888889;0.5434922724
BEST_GENECI;0.2717549148274879;0.672;0.471877457413744
MEDIAN_GENECI;0.2578697752662988;0.64;0.4489348876331494
MEAN;0.2648440630342432;0.6551111111111111;0.4599775870726771
MEDIAN;0.17734976293548524;0.5093333333333333;0.34334154813440926
