sim_scale-free_size-100_overexpression_exp;sim_scale-free_size-100_overexpression_exp;sim_scale-free_size-100_overexpression_exp;sim_scale-free_size-100_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0487462666467651;0.536067984158897;0.2924071254
BC3NET;0.0644428243128703;0.57130159225332;0.3178722082
C3NET;0.0436873020495723;0.520829008531854;0.2822581552
CLR;0.0877275010594259;0.665775900925441;0.3767517009
CMI2NI;0.0637571042876388;0.661116010959859;0.3624365576
GENIE3_ET;0.0667096511999647;0.667550168652921;0.3671299099
GENIE3_RF;0.0697631045722819;0.655852847028761;0.3628079758
GRNBOOST2;0.0663642406748346;0.653650208909416;0.3600072247
GRNVBEM;0.0311821379950466;0.468265610287312;0.2497238741
INFERELATOR;0.0631743306893597;0.5755944714414;0.319384401
KBOOST;0.0576487611824139;0.585104638213392;0.3213766996
LEAP;0.0570690214613371;0.629518676834394;0.3432938491
LOCPCACMI;0.0663386948107118;0.64804411928309;0.357191407
MEOMI;0.0386746814403387;0.506215671589581;0.2724451765
MRNETB;0.0772902295323185;0.670572273023905;0.3739312512
MRNET;0.0730690903219037;0.667193480053538;0.3701312851
NARROMI;0.0509438927447109;0.53198670962222;0.2914653011
NONLINEARODES;0.0542358759599682;0.571431766388465;0.3128338211
PCACMI;0.0679187648550677;0.663931671768499;0.3659252183
PCIT;0.0354455445544554;0.5;0.2677227722
PIDC;0.0831291687460357;0.651274387579438;0.3672017781
PLSNET;0.0476853903965155;0.516870453223903;0.2822779218
PUC;0.0741507925036689;0.653400756271583;0.3637757743
RSNET;0.0876791656857124;0.654809733584583;0.3712444496
TIGRESS;0.113293945645038;0.716343678067321;0.4148188118
BEST_GENECI;0.0839251974942231;0.708579679760158;0.3962524386271905
MEDIAN_GENECI;0.0740004415411853;0.671313176030985;0.3726568087860851
MEAN;0.0824924882803815;0.699928547589255;0.39121051793481826
MEDIAN;0.0803628890928445;0.688571857842963;0.3844673734679038
