D3_100_Yeast1;D3_100_Yeast1;D3_100_Yeast1;D3_100_Yeast1
Technique;AUPR;AUROC;Mean
ARACNE;0.0332287376281657;0.5529973809352882;0.2931130592
BC3NET;0.0195700800591815;0.5262887382692883;0.2729294091
C3NET;0.0262938543613641;0.5232101613769646;0.2747520078
CLR;0.0472283043722676;0.5552825644059706;0.3012554343
CMI2NI;0.0235127803293576;0.505647203566681;0.2645799919
GENIE3_ET;0.0501598724160831;0.6350848225447507;0.3426223474
GENIE3_RF;0.056248545857067;0.6470315203695406;0.3516400331
GRNBOOST2;0.058680244455442;0.6459664423050742;0.3523233433
GRNVBEM;0.0504303115679332;0.5984191543243033;0.3244247329
INFERELATOR;0.0384328174422626;0.5862976252658054;0.3123652213
KBOOST;0.019329884608166;0.4934337720720564;0.2563818283
LEAP;0.0198931765076507;0.5355879032876938;0.2777405398
LOCPCACMI;0.0285227381493017;0.5162032968529141;0.2723630175
MEOMI;0.0223280998073855;0.5058139894692804;0.2640710446
MRNETB;0.0357093222927308;0.5478208292384661;0.2917650757
MRNET;0.0319978873716342;0.5505153962882556;0.2912566418
NARROMI;0.0258061952411774;0.5347821324335765;0.2802941638
NONLINEARODES;0.0170564074348343;0.505593361735415;0.2613248845
PCACMI;0.0175342936504738;0.4710906498399602;0.2443124717
PCIT;0.0268590871902291;0.5133110003193377;0.2700850437
PIDC;0.0557075887977012;0.5957920442815022;0.3257498165
PLSNET;0.0256594342317898;0.5700841170310995;0.2978717756
PUC;0.0551766020186877;0.599674844848884;0.3274257234
RSNET;0.0235387809584752;0.4995305858733888;0.2615346834
TIGRESS;0.0167323992938049;0.5154652924415972;0.2660988458
BEST_GENECI;0.0469331578809745;0.5952740487324273;0.3211036033067009
MEDIAN_GENECI;0.0354922385426437;0.5787464631486702;0.3071193508456569
MEAN;0.038584610785947084;0.5779821566933443;0.3082833837396457
MEDIAN;0.03461817791466872;0.5482973603887505;0.2914577691517096
