sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp;sim_BioGrid_Human_papillomavirus_5_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0134404551140878;0.480093941575877;0.2467671983
BC3NET;0.0110115785959521;0.49993876301286;0.2554751708
C3NET;0.0147936704232795;0.505211873246166;0.2600027718
CLR;0.0104589347490251;0.495189195372906;0.252824065
GENIE3_ET;0.0090197934314921;0.407073881415584;0.2080468374
GENIE3_RF;0.0094653063973848;0.413674017348237;0.2115696618
GRNBOOST2;0.0411822086278517;0.565677678108786;0.3034299433
INFERELATOR;0.0093229563619541;0.458481322718922;0.2339021395
KBOOST;0.0092375836943473;0.328148153132844;0.1686928684
LEAP;0.0111062624059518;0.49729547855696;0.2542008704
MEOMI;0.0676963904200637;0.545914954610607;0.3068056725
MRNETB;0.0141015249750741;0.495524989401291;0.2548132571
MRNET;0.0137854740747642;0.487511019293016;0.2506482466
NARROMI;0.0110115785959521;0.49993876301286;0.2554751708
PCACMI;0.0146781431527103;0.502719325989381;0.2586987345
PCIT;0.0110222868217054;0.5;0.2555111434
PIDC;0.0129311175703364;0.590134788665101;0.3015329531
PLSNET;0.0563121670054319;0.179052912794493;0.1176825398
PUC;0.0202390191794624;0.694086256670458;0.3571626379
RSNET;0.0146779517016302;0.502770468967652;0.2587242103
BEST_GENECI;0.0701516973655657;0.708443301952181;0.3892974996588733
MEDIAN_GENECI;0.0570638829397289;0.579393417360349;0.3182286501500389
MEAN;0.0427476491419744;0.636234800104978;0.3394912246234762
MEDIAN;0.0142133543907123;0.502053794337934;0.2581335743643231
