D3_50_Yeast3;D3_50_Yeast3;D3_50_Yeast3;D3_50_Yeast3
Technique;AUPR;AUROC;Mean
ARACNE;0.0886803191920921;0.5283445157785445;0.3085124174
BC3NET;0.0861212491210424;0.5266665143518623;0.3063938817
C3NET;0.086821284271795;0.5244287560196079;0.3056250201
CLR;0.1013540624409403;0.5491316786868432;0.3252428705
CMI2NI;0.0831822841155832;0.5445431952091916;0.3138627396
GENIE3_ET;0.0961763902003571;0.5755189492309369;0.3358476697
GENIE3_RF;0.1006277824635558;0.5747396051492559;0.3376836938
GRNBOOST2;0.1099737876493457;0.5910956765442816;0.350534732
GRNVBEM;0.0869087798570134;0.5167355891155843;0.3018221844
INFERELATOR;0.0891104690446491;0.5372993569776682;0.313204913
KBOOST;0.0737527538085249;0.5168117465177028;0.2952822501
LEAP;0.0863397808880286;0.5736543621690646;0.3299970715
LOCPCACMI;0.0867731187797584;0.5709723523244508;0.3288727355
MEOMI;0.0706386017087289;0.4909994643596052;0.280819033
MRNETB;0.0991916010366719;0.5507005211704884;0.3249460611
MRNET;0.0982582584817251;0.547374981277972;0.3228166198
NARROMI;0.0785704945622275;0.5150677420091845;0.2968191182
NONLINEARODES;0.0749347253505746;0.5203276799155161;0.2976312026
PCACMI;0.0745941150612939;0.4796367799634954;0.2771154475
PCIT;0.0842584782139736;0.5390344764559394;0.3116464773
PIDC;0.1022003507207239;0.5347138131757385;0.3184570819
PLSNET;0.0761802205989024;0.5120011372838715;0.2940906789
PUC;0.0876135902339659;0.5346731958946084;0.311143393
RSNET;0.0862338472755805;0.5518238428517394;0.319028845
TIGRESS;0.0993473834048856;0.5849320041328083;0.3421396937
BEST_GENECI;0.1050843234428767;0.5590384874124508;0.3320614054276637
MEDIAN_GENECI;0.0938672142580678;0.5561216589113046;0.3249944365846862
MEAN;0.09729679163829527;0.5649559175570736;0.33112635459768447
MEDIAN;0.09621123686456998;0.5531769060293816;0.3246940714469758
