D3_50_Yeast2;D3_50_Yeast2;D3_50_Yeast2;D3_50_Yeast2
Technique;AUPR;AUROC;Mean
ARACNE;0.0761321011784054;0.5252374454148471;0.3006847732
BC3NET;0.0711304282295709;0.5132109716157205;0.2921706999
C3NET;0.0764395341455055;0.5197775655021835;0.2981085498
CLR;0.0813896848836087;0.5292153384279477;0.3053025116
CMI2NI;0.0677911567191034;0.5140393013100435;0.290915229
GENIE3_ET;0.0880349909840796;0.5725463973799124;0.3302906941
GENIE3_RF;0.0883459911988158;0.5835917030567683;0.3359688471
GRNBOOST2;0.091949233857414;0.5760971615720525;0.3340231977
GRNVBEM;0.0789720284663924;0.5366375545851529;0.3078047915
INFERELATOR;0.0867383404439967;0.5545251091703056;0.3206317248
KBOOST;0.066820812393695;0.4659497816593887;0.266385297
LEAP;0.0669400556851298;0.5331700327510915;0.3000550442
LOCPCACMI;0.0720088798566628;0.5217753820960698;0.2968921309
MEOMI;0.0686536820447159;0.4887268013100437;0.2786902416
MRNETB;0.0755212697960901;0.5356659388646288;0.3055936043
MRNET;0.0785748010844658;0.5383037663755459;0.3084392837
NARROMI;0.0779561373936189;0.5305376637554584;0.3042469005
NONLINEARODES;0.063506404437671;0.4917085152838431;0.2776074598
PCACMI;0.062420392107645;0.4643313318777291;0.2633758619
PCIT;0.0644214728847518;0.4989874454148472;0.2817044591
PIDC;0.0893803791410973;0.5715611353711789;0.3304707572
PLSNET;0.0742481125874643;0.5245878820960699;0.2994179973
PUC;0.0899183392123211;0.5752456331877729;0.3325819862
RSNET;0.0855447285229914;0.5394718886462884;0.3125083085
TIGRESS;0.0831058352672447;0.5896915938864631;0.3363987145
BEST_GENECI;0.0909184329499602;0.5767412663755459;0.333829849662753
MEDIAN_GENECI;0.0820648119482755;0.5671042576419214;0.3245845347950984
MEAN;0.08356480398290558;0.5612090611353713;0.3223869325591384
MEDIAN;0.07723798125662042;0.5377456331877728;0.3074918072221966
