sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp;sim_BioGrid_Human_Herpesvirus_5_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.137397766866368;0.756923418440129;0.4471605926;0 days 00:00:00.364028594
BC3NET;0.0720285821949215;0.597232634137821;0.3346306081;0 days 00:00:34.957765079
C3NET;0.106954681014188;0.674617528894582;0.3907861049;0 days 00:00:01.104763437
CLR;0.135781535981649;0.813065882558444;0.4744237092;0 days 00:00:00.350401598
GENIE3_ET;0.0805795520293071;0.824291646045009;0.4524355990;0 days 00:01:34.342857909
GENIE3_RF;0.0821190661577376;0.827472233543917;0.4547956498;0 days 00:02:06.779696920
GRNBOOST2;0.0656244333913585;0.774839696934409;0.4202320651;0 days 00:00:09.282123188
INFERELATOR;0.129869838842959;0.743801675449067;0.4368357571;0 days 00:05:27.614945464
KBOOST;0.0408154931876003;0.612296755364057;0.3265561242;0 days 00:00:04.060554574
LEAP;0.0516800861907601;0.65787395557367;0.3547770208;0 days 00:00:03.080668392
MEOMI;0.0094178982400877;0.54134217881161;0.2753800385;0 days 00:02:44.259249386
MRNETB;0.130895112687703;0.8100863562258;0.4704907344;0 days 00:00:00.383981202
MRNET;0.134781898061716;0.809170208739701;0.4719760534;0 days 00:00:00.361728965
NARROMI;0.00565163672681194;0.499694314244956;0.2526729754;0 days 00:00:09.281727656
PCACMI;0.154939400618826;0.815314856327695;0.4851271284;0 days 00:00:06.627836716
PCIT;0.00567375886524823;0.5;0.2528368794;0 days 00:00:09.222536794
PIDC;0.0596773194497687;0.773816195522432;0.4167467574;0 days 00:00:08.625117607
PLSNET;0.024771887737681;0.634041384028647;0.3294066358;0 days 00:02:53.940469529
PUC;0.0656749070836242;0.78115811231768;0.4234165097;0 days 00:00:07.920806677
RSNET;0.149248836292632;0.815115614719497;0.4821822255;0 days 00:00:09.334358132
