D3_10_Ecoli1;D3_10_Ecoli1;D3_10_Ecoli1;D3_10_Ecoli1
Technique;AUPR;AUROC;Mean
ARACNE;0.1529322896801053;0.5609896432681244;0.3569609664
BC3NET;0.2146088522419294;0.6116225546605294;0.4131157034
C3NET;0.1599472942514954;0.5753739930955122;0.3676606436
CLR;0.1477150333831642;0.571921749136939;0.3598183912
CMI2NI;0.232128772264051;0.57307249712313;0.4026006346
GENIE3_ET;0.1733772719215974;0.6087456846950519;0.3910614783
GENIE3_RF;0.1636051912714987;0.5972382048331416;0.380421698
GRNBOOST2;0.1389298575973221;0.5477560414269276;0.3433429495
GRNVBEM;0.091994717230101;0.384349827387802;0.2381722723
INFERELATOR;0.1868658053664071;0.3952819332566168;0.2910738693
JUMP3;0.1658224419354222;0.566168009205984;0.3659952255
KBOOST;0.1739377134317322;0.5949367088607596;0.3844372111
LEAP;0.1514665510916163;0.5776754890678941;0.36457102
LOCPCACMI;0.1698156992161018;0.5926352128883774;0.381225456
MEOMI;0.1293923825260946;0.5356731875719218;0.332532785
MRNETB;0.1409521667235642;0.547180667433832;0.344066417
MRNET;0.1469262713320291;0.5155350978135789;0.3312306845
NARROMI;0.1420072933733159;0.5431530494821634;0.3425801714
NONLINEARODES;0.1100773865084166;0.4568469505178366;0.2834621685
PCACMI;0.1425409974084758;0.5489067894131185;0.3457238934
PCIT;0.2986710147074708;0.5454545454545455;0.42206278
PIDC;0.1747933496300642;0.6352128883774453;0.405003119
PLSNET;0.1419061584429771;0.5466052934407365;0.3442557259
PUC;0.1951336821499599;0.6628308400460299;0.428982261
RSNET;0.1627239335596123;0.5719217491369389;0.3673228413
TIGRESS;0.1173907460771705;0.4810126582278481;0.2992017021
BEST_GENECI;0.1947701814127423;0.6363636363636364;0.4155669088881893
MEDIAN_GENECI;0.1913968765198525;0.6294591484464902;0.4104280124831713
MEAN;0.2411962466001917;0.6018411967779056;0.42151872168904864
MEDIAN;0.16077061086732558;0.6006904487917146;0.3807305298295201
