D3_50_Ecoli1;D3_50_Ecoli1;D3_50_Ecoli1;D3_50_Ecoli1
Technique;AUPR;AUROC;Mean
ARACNE;0.0240767472753839;0.4892574431296266;0.2566670952
BC3NET;0.0279430434599731;0.5107189171664777;0.2693309803
C3NET;0.0264576130223971;0.5082570108607554;0.2673573119
CLR;0.0333862989781623;0.5831475928027232;0.3082669458
CMI2NI;0.0352990768407275;0.5690144269735776;0.3021567519
GENIE3_ET;0.027770182071578;0.5198911222780569;0.2738306521
GENIE3_RF;0.0340748925680468;0.5566542389366185;0.2953645657
GRNBOOST2;0.0266555725650348;0.5031339493164748;0.2648947609
GRNVBEM;0.0465055298820321;0.5587784351866862;0.3026419825
INFERELATOR;0.0280045917127398;0.5055451991138488;0.2667748954
KBOOST;0.0277155455024867;0.5459015507645755;0.2868085481
LEAP;0.0412862229653595;0.5648639703895825;0.3030750966
LOCPCACMI;0.0339406543742713;0.5804087642513643;0.3071747093
MEOMI;0.0222845781719612;0.4719059004700925;0.2470952393
MRNETB;0.0363265898896185;0.6046124439401308;0.3204695169
MRNET;0.0329234114974411;0.5803243367374507;0.3066238741
NARROMI;0.0262107018631607;0.4950896957907819;0.2606501988
NONLINEARODES;0.0237931289142819;0.4824998649159779;0.2531464969
PCACMI;0.0221310656274078;0.4200910466310044;0.2211110561
PCIT;0.0402837446133537;0.5764744421029881;0.3083790933
PIDC;0.0240936520385534;0.4704301075268817;0.2472618797
PLSNET;0.0213054858743705;0.4577119468309288;0.2395087163
PUC;0.0231466661156689;0.4627438266601826;0.2429452463
RSNET;0.0319719447457721;0.5212926190090236;0.2766322818
TIGRESS;0.0289453867883716;0.580017020586805;0.3044812036
BEST_GENECI;0.0373436660472829;0.5510955314205436;0.2942195987339132
MEDIAN_GENECI;0.0308123066390932;0.5385259631490786;0.2846691348940859
MEAN;0.03173095765496736;0.5405522234830064;0.28614159056898686
MEDIAN;0.029994249868986172;0.5697708974982438;0.299882573683615
