D3_100_Ecoli1;D3_100_Ecoli1;D3_100_Ecoli1;D3_100_Ecoli1
Technique;AUPR;AUROC;Mean
ARACNE;0.0237518655459815;0.5511635805626598;0.287457723
BC3NET;0.0179694593793126;0.5482332480818415;0.2831013537
C3NET;0.0233482258635746;0.5412562659846547;0.2823022459
CLR;0.0310886075224825;0.6589552941176471;0.3450219508
CMI2NI;0.0248427644162785;0.6654158567774935;0.3451293105
GENIE3_ET;0.0353738706016148;0.6632667007672635;0.3493202856
GENIE3_RF;0.0426281364837221;0.6743701278772378;0.3584991321
GRNBOOST2;0.041713663069319;0.634298925831202;0.3380062944
GRNVBEM;0.0501720436525649;0.6132722250639386;0.3317221343
INFERELATOR;0.0271622621660524;0.5866500255754474;0.3069061438
KBOOST;0.0153291704277738;0.497518158567775;0.2564236644
LEAP;0.0203777914108863;0.6422756010230178;0.3313266962
LOCPCACMI;0.0245326309491494;0.644091253196931;0.334311942
MEOMI;0.0148236452135271;0.5086850127877238;0.261754329
MRNETB;0.0332425398658009;0.6422084910485935;0.3377255154
MRNET;0.0319604168555002;0.6352462404092072;0.3336033286
NARROMI;0.0262982133931272;0.5970168797953963;0.3116575465
NONLINEARODES;0.0126258534522801;0.4790760102301791;0.2458509318
PCACMI;0.013647235778029;0.4475470076726341;0.2305971217
PCIT;0.0236034957763742;0.5971633759590793;0.3103834358
PIDC;0.0384956921269829;0.6078174936061379;0.3231565928
PLSNET;0.0178833269321418;0.5331584654731458;0.2755208962
PUC;0.0298638366320074;0.6142911508951405;0.3220774937
RSNET;0.0281385546428629;0.6729297186700767;0.3505341366
TIGRESS;0.0179865417625465;0.6330111508951407;0.3254988463
BEST_GENECI;0.0475027616723012;0.6506737595907928;0.349088260631547
MEDIAN_GENECI;0.032506190347769;0.651386598465473;0.341946394406621
MEAN;0.03708806241845546;0.6886252685421994;0.3628566654803274
MEDIAN;0.029971024999570318;0.6696265984654731;0.3497988117325217
