sim_eipo-modular_size-200_overexpression_exp;sim_eipo-modular_size-200_overexpression_exp;sim_eipo-modular_size-200_overexpression_exp;sim_eipo-modular_size-200_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0762046854051078;0.592755213447426;0.3344799494
BC3NET;0.129979744104688;0.647325498139681;0.3886526211
C3NET;0.0596572237736713;0.563268920915858;0.3114630723
CLR;0.191555576778315;0.827280376346412;0.5094179765
GENIE3_ET;0.165574120546898;0.873086509487567;0.519330315
GENIE3_RF;0.166031836275045;0.860443836813818;0.5132378365
GRNBOOST2;0.158286210289322;0.853009289304286;0.5056477497
INFERELATOR;0.155398730940161;0.72201049920894;0.438704615
KBOOST;0.100061351549113;0.654407471549248;0.3772344115
LEAP;0.088377244602382;0.726534765220948;0.4074560049
MEOMI;0.0504482518502839;0.564934960585732;0.3076916062
MRNETB;0.136824812803579;0.801336375332229;0.469080594
MRNET;0.146359575077266;0.794552860636812;0.4704562178
NARROMI;0.0681024025846233;0.592566839712288;0.3303346211
PCACMI;0.157756657341101;0.841787832251644;0.4997722447
PCIT;0.0183582089552239;0.5;0.2591791044
PIDC;0.145135744761298;0.8339134255465;0.4895245851
PLSNET;0.193108842984722;0.859575037643844;0.5263419403
PUC;0.138358979497664;0.822868804938619;0.4806138922
RSNET;0.149307526635108;0.81700195543337;0.483154741
BEST_GENECI;0.198852916156262;0.890811083874865;0.5448320000155635
MEDIAN_GENECI;0.187780975043304;0.866439794092331;0.5271103845678174
MEAN;0.182960002125527;0.862377294392781;0.522668648259154
MEDIAN;0.177828522893979;0.844036505085542;0.5109325139897605
