"","perturbation.1.t0","perturbation.1.applied.t50","perturbation.1.applied.t100","perturbation.1.applied.t150","perturbation.1.applied.t200","perturbation.1.applied.t250","perturbation.1.applied.t300","perturbation.1.applied.t350","perturbation.1.applied.t400","perturbation.1.applied.t450","perturbation.1.applied.t500","perturbation.1.removed.t550","perturbation.1.removed.t600","perturbation.1.removed.t650","perturbation.1.removed.t700","perturbation.1.removed.t750","perturbation.1.removed.t800","perturbation.1.removed.t850","perturbation.1.removed.t900","perturbation.1.removed.t950","perturbation.1.removed.t1000","perturbation.2.t0","perturbation.2.applied.t50","perturbation.2.applied.t100","perturbation.2.applied.t150","perturbation.2.applied.t200","perturbation.2.applied.t250","perturbation.2.applied.t300","perturbation.2.applied.t350","perturbation.2.applied.t400","perturbation.2.applied.t450","perturbation.2.applied.t500","perturbation.2.removed.t550","perturbation.2.removed.t600","perturbation.2.removed.t650","perturbation.2.removed.t700","perturbation.2.removed.t750","perturbation.2.removed.t800","perturbation.2.removed.t850","perturbation.2.removed.t900","perturbation.2.removed.t950","perturbation.2.removed.t1000","perturbation.3.t0","perturbation.3.applied.t50","perturbation.3.applied.t100","perturbation.3.applied.t150","perturbation.3.applied.t200","perturbation.3.applied.t250","perturbation.3.applied.t300","perturbation.3.applied.t350","perturbation.3.applied.t400","perturbation.3.applied.t450","perturbation.3.applied.t500","perturbation.3.removed.t550","perturbation.3.removed.t600","perturbation.3.removed.t650","perturbation.3.removed.t700","perturbation.3.removed.t750","perturbation.3.removed.t800","perturbation.3.removed.t850","perturbation.3.removed.t900","perturbation.3.removed.t950","perturbation.3.removed.t1000","perturbation.4.t0","perturbation.4.applied.t50","perturbation.4.applied.t100","perturbation.4.applied.t150","perturbation.4.applied.t200","perturbation.4.applied.t250","perturbation.4.applied.t300","perturbation.4.applied.t350","perturbation.4.applied.t400","perturbation.4.applied.t450","perturbation.4.applied.t500","perturbation.4.removed.t550","perturbation.4.removed.t600","perturbation.4.removed.t650","perturbation.4.removed.t700","perturbation.4.removed.t750","perturbation.4.removed.t800","perturbation.4.removed.t850","perturbation.4.removed.t900","perturbation.4.removed.t950","perturbation.4.removed.t1000","perturbation.5.t0","perturbation.5.applied.t50","perturbation.5.applied.t100","perturbation.5.applied.t150","perturbation.5.applied.t200","perturbation.5.applied.t250","perturbation.5.applied.t300","perturbation.5.applied.t350","perturbation.5.applied.t400","perturbation.5.applied.t450","perturbation.5.applied.t500","perturbation.5.removed.t550","perturbation.5.removed.t600","perturbation.5.removed.t650","perturbation.5.removed.t700","perturbation.5.removed.t750","perturbation.5.removed.t800","perturbation.5.removed.t850","perturbation.5.removed.t900","perturbation.5.removed.t950","perturbation.5.removed.t1000"
"G1",0.6628624,0.6761528,0.6499086,0.7365612,0.669694,0.7654911,0.6712747,0.6531442,0.7095126,0.6441797,0.7321491,0.7682529,0.7134988,0.5404778,0.7234629,0.7445293,0.6565145,0.6644325,0.5946674,0.7603009,0.5852974,0.7874432,0.6929656,0.6798093,0.7330359,0.7348793,0.6196027,0.7167615,0.6083598,0.7858433,0.5744288,0.6068232,0.7102967,0.528382,0.5800506,0.5571226,0.6065127,0.6243069,0.6398774,0.6802596,0.6822649,0.6366115,0.6214225,0.8004574,0.6781367,0.7292155,0.5791297,0.6906482,0.7007028,0.7556584,0.624518,0.6891365,0.6622871,0.6887933,0.6045479,0.5684042,0.6582119,0.6445721,0.6131108,0.6966552,0.6749025,0.640904,0.6693021,0.6915898,0.7438541,0.6254011,0.7119316,0.5416307,0.5443968,0.6545849,0.6800698,0.6342342,0.6647282,0.6657403,0.6223719,0.6960233,0.6956821,0.5464891,0.6095815,0.8030964,0.6763375,0.6593881,0.8030895,0.7321291,0.6689666,0.6243556,0.681568,0.6367281,0.727122,0.6428747,0.7578733,0.606375,0.6651108,0.6440738,0.6756544,0.6806585,0.5991409,0.57454,0.7030458,0.7839828,0.6231205,0.6972616,0.7167792,0.646444,0.6528114
"G2",0.1478915,0.2662993,0.2271098,0.3119084,0.3593797,0.3479949,0.3011645,0.396445,0.4857937,0.3658216,0.3767989,0.2598827,0.0946157,0.0657443,0.0697712,0.1790571,0.2642967,0.153535,0.0480274,0.0464092,0.1088761,0.0820352,0.084156,0.2286693,0.4153395,0.5017915,0.590046,0.4391994,0.4407526,0.4614927,0.4714514,0.561641,0.4415279,0.3374482,0.1637052,0.0429085,0.0304459,0.111568,0.2587638,0.1757636,0.1059372,0.0693344,0.2390612,0.4170516,0.514873,0.5629737,0.5773526,0.5637635,0.6017739,0.4771433,0.5544779,0.6536083,0.5198033,0.1960484,0.083869,0.0356073,0.0531711,0.2349321,0.2170617,0.1460906,0.0630306,0.108727,0.2346898,0.2338904,0.4973434,0.4926815,0.4952848,0.6316753,0.5541389,0.6489507,0.6026611,0.5378402,0.602992,0.5394387,0.2526071,0.1129086,0.0375384,0.0584713,0.2178771,0.1668629,0.1256165,0.0464005,0.2933879,0.2356021,0.04761,0.132229,0.3146006,0.2978526,0.3749968,0.4744634,0.5797259,0.3986182,0.5163119,0.5039694,0.4700922,0.3445405,0.1774965,0.1056181,0.0436959,0.0551582,0.2068157,0.1570902,0.0961573,0.0540037,0.169542
"G3",0.6120202,0.5866584,0.5552051,0.6120332,0.5522155,0.5895787,0.5642045,0.5156315,0.7351976,0.6183345,0.5532833,0.5805132,0.6226203,0.7015927,0.6251591,0.6707629,0.5605107,0.6600691,0.7683222,0.6377278,0.5751327,0.6099512,0.6604199,0.5756171,0.5172707,0.5892892,0.6949584,0.6196109,0.5308587,0.5947482,0.5318275,0.6285244,0.7995643,0.7805383,0.572226,0.644736,0.7134337,0.6120624,0.6666743,0.5508774,0.6809049,0.5834631,0.5982388,0.620354,0.7095644,0.4802403,0.4776338,0.458834,0.6233981,0.4343449,0.4531289,0.5028973,0.4988099,0.3742972,0.5810182,0.6740862,0.5696768,0.5992847,0.7271016,0.5998186,0.7797116,0.6581622,0.7078107,0.6598145,0.7754101,0.6778706,0.5874721,0.7459289,0.6845896,0.5240919,0.6445428,0.6145737,0.6029319,0.6326226,0.7820191,0.7077068,0.7148873,0.7208876,0.6715304,0.6753433,0.6907497,0.598246,0.6796263,0.6682597,0.5892719,0.6628217,0.6863369,0.6428395,0.7610222,0.6815671,0.7091839,0.6033396,0.7090288,0.616571,0.73328,0.7026364,0.698347,0.6600042,0.8979167,0.73213,0.6442357,0.6365666,0.7379328,0.7683945,0.5917572
"G4",0.7147111,0.6211295,0.7286318,0.6364122,0.6019488,0.8417649,0.6611943,0.6545393,0.6958615,0.7551539,0.7483919,0.6934321,0.7315978,0.6595861,0.7474227,0.7098827,0.8039835,0.7343127,0.7035052,0.6771701,0.7424166,0.6879506,0.524888,0.3764306,0.4191522,0.4546635,0.3510255,0.3780655,0.3936752,0.3353616,0.3772873,0.2619891,0.531459,0.7460683,0.7105922,0.6804196,0.82199,0.6378193,0.8137984,0.8956855,0.6376783,0.7100885,0.5632529,0.669013,0.6712292,0.6909312,0.7006687,0.6515318,0.6972747,0.6815534,0.5830193,0.5979125,0.6340543,0.6129607,0.6252922,0.6342926,0.5467389,0.7499564,0.7221774,0.6117993,0.5934496,0.7943677,0.6569468,0.7593274,0.6801287,0.7071749,0.6915025,0.7059388,0.5792763,0.6168436,0.7977836,0.670764,0.5907183,0.6734043,0.6585574,0.6280062,0.7678076,0.7284069,0.5363577,0.7770043,0.6319538,0.6541874,0.7346696,0.5620507,0.6708191,0.6203818,0.6392777,0.6896854,0.5899858,0.7449325,0.7165592,0.6548668,0.7048845,0.580724,0.6841106,0.5926967,0.6588745,0.7687045,0.8859788,0.763585,0.6275509,0.7446394,0.6349339,0.6528546,0.6740743
"G5",0.1671802,0.1768103,0.2840686,0.232231,0.1690419,0.2196595,0.1954992,0.220511,0.2654324,0.1891262,0.1736113,0.0678906,0.0501932,0.0636663,0.1991477,0.2485658,0.1119151,0.0558661,0.0613795,0.1621434,0.113479,0.0455927,0.2447977,0.3713523,0.3863953,0.31704,0.3213021,0.2418147,0.2537865,0.2884531,0.2628228,0.4684946,0.2603094,0.120343,0.0676821,0.0887503,0.1200498,0.177639,0.0775454,0.0569776,0.0621604,0.1081258,0.2781876,0.0817893,0.0735007,0.0782346,0.054544,0.0490949,0.0498437,0.0414899,0.033116,0.0270327,0.0278255,0.0793537,0.043504,0.0439163,0.2711414,0.1615188,0.0985495,0.0383284,0.1781693,0.1796589,0.2512058,0.0791337,0.1449401,0.1709144,0.1425563,0.1313911,0.1432393,0.1633588,0.1560782,0.1145073,0.1765532,0.1895198,0.0537636,0.0496127,0.0655364,0.2111344,0.187813,0.072488,0.1061575,0.1516524,0.2570761,0.1402917,0.1378262,0.3015316,0.2141247,0.2935863,0.1948136,0.2828455,0.2539835,0.2987135,0.2210726,0.2728561,0.2585603,0.154991,0.0835393,0.062711,0.0709065,0.2067491,0.1900184,0.1020243,0.073147,0.1247392,0.1597347
"G6",0.6485969,0.2114769,0.1475425,0.1166463,0.0843374,0.0368025,0.0546106,0.0566831,0.098427,0.0743242,0.0686113,0.4206651,0.5567374,0.4946151,0.5932849,0.5811978,0.60168,0.7040056,0.7472157,0.5346956,0.6228807,0.6342082,0.6665718,0.6195602,0.5473848,0.5674707,0.533356,0.5062334,0.3821138,0.4530584,0.4523314,0.4262453,0.4476837,0.487175,0.4126415,0.3283072,0.4559274,0.6281558,0.5733789,0.6977119,0.5788598,0.5986271,0.5746758,0.6601408,0.7105138,0.5723542,0.6168664,0.4416718,0.468512,0.4333314,0.51677,0.4203254,0.5410433,0.4186002,0.4255524,0.4200009,0.5468745,0.6114492,0.7561949,0.7809917,0.6441666,0.6360057,0.6430747,0.5740673,0.7281284,0.6722435,0.5818812,0.4805519,0.4878724,0.4475684,0.5676225,0.5204786,0.4751415,0.5083598,0.501669,0.4131859,0.3581232,0.3560826,0.6451083,0.5970447,0.7929177,0.5423671,0.6765307,0.697767,0.6393759,0.1965109,0.1120339,0.1028576,0.0479168,0.0203582,0.0539735,0.0501183,0.0369337,0.027917,0.0539815,0.4595803,0.6570827,0.6415201,0.6421454,0.69653,0.6585453,0.6707215,0.5778029,0.8796771,0.6245062
"G7",0.0416626,0.0958277,0.1594239,0.1082193,0.0391498,0.0301653,0.0192187,0.0101171,0.0140218,0.0121461,0.0208781,0.0563795,0.1187652,0.1144735,0.0660764,0.068787,0.1092483,0.1106014,0.0781214,0.0546495,0.0561078,0.0578235,0.0650053,0.0584418,0.1239152,0.1818365,0.260676,0.4284564,0.3432323,0.4684463,0.308084,0.2986146,0.2975342,0.3063266,0.2763829,0.2367593,0.1218141,0.0805418,0.0815476,0.1155057,0.0898181,0.054985,0.0310556,0.0468794,0.2139203,0.2245143,0.3546319,0.3593754,0.3464837,0.3269221,0.3752645,0.3917628,0.4397045,0.3225044,0.2767918,0.1409197,0.0750331,0.0782815,0.0956761,0.1152209,0.1570782,0.0710659,0.0885121,0.031513,0.1016704,0.1650963,0.2605261,0.3534139,0.436846,0.395391,0.2980098,0.3537962,0.3239103,0.339004,0.3868451,0.3518108,0.2402467,0.1257188,0.0696035,0.0830079,0.1339837,0.0964924,0.0525126,0.0562061,0.0474851,0.0454575,0.0591432,0.0672381,0.0720456,0.0531545,0.0198408,0.0225474,0.011991,0.0104645,0.0213398,0.0625134,0.165564,0.1841018,0.1086519,0.0546789,0.0339465,0.0787838,0.105969,0.0809093,0.0757628
"G8",0.7279593,0.7278701,0.6161076,0.6997583,0.6284378,0.590334,0.4981507,0.5552391,0.5763904,0.5708667,0.4771095,0.514426,0.6729508,0.6813605,0.6835417,0.7071485,0.6558531,0.6533417,0.6549139,0.7131433,0.7519312,0.7010196,0.7005807,0.6226918,0.7777653,0.4842959,0.2869854,0.2637825,0.4220824,0.3962989,0.4495986,0.4115718,0.3119128,0.4758299,0.4608701,0.5158606,0.5990146,0.7789658,0.818346,0.5434806,0.5977445,0.6494619,0.569451,0.6268083,0.5607125,0.4565252,0.3010967,0.2920852,0.2779408,0.3084055,0.2561096,0.2607094,0.287045,0.3012594,0.5910418,0.5096427,0.5478757,0.6860586,0.6613248,0.6461899,0.6637484,0.6833402,0.6389621,0.7256002,0.5188655,0.453142,0.408193,0.3609255,0.341231,0.3430205,0.2812106,0.3532403,0.303826,0.3808055,0.2797404,0.4622538,0.6354837,0.6371679,0.6596241,0.5223113,0.5622408,0.6307803,0.5363884,0.5008871,0.6645618,0.7304925,0.5921437,0.5999242,0.5569286,0.4305924,0.4393562,0.4327609,0.3541309,0.5267003,0.457135,0.4742249,0.7257568,0.5884351,0.6661202,0.6465175,0.7266245,0.6786115,0.6617768,0.6315746,0.8074697
"G9",0.6066708,0.6160722,0.6102391,0.6554521,0.6062847,0.5750188,0.6052007,0.8884042,0.5945329,0.5913268,0.6506196,0.6624994,0.6116129,0.7677323,0.6244221,0.8015488,0.5745055,0.5740649,0.6810769,0.5368018,0.5973722,0.6879156,0.0151053,0.0062487,0.0008066,0,0.005177,0.0005555,2.12e-05,0.0021832,0.0029114,0.0042759,0.5880958,0.6357866,0.6903903,0.6908316,0.7627848,0.7301306,0.7159765,0.5866876,0.5475067,0.641313,0.6049886,0.5608383,0.5292581,0.5700155,0.5165074,0.6256374,0.3984917,0.6015836,0.6249951,0.5927344,0.5574422,0.6341172,0.6825656,0.6031092,0.7415918,0.6787966,0.696761,0.6830579,0.6633103,0.5969944,0.618197,0.6227947,0.6570776,0.6649125,0.5636826,0.715483,0.7035741,0.6287078,0.7162095,0.635965,0.5914618,0.5815539,0.6636413,0.5909236,0.8023806,0.5719785,0.5547017,0.6397543,0.6134217,0.7161887,0.6713493,0.6859213,0.7389344,0.1064842,0.0891723,0.0794147,0.1625706,0.1169994,0.1202592,0.1253357,0.1210247,0.1844005,0.1355564,0.4747672,0.5978423,0.6298541,0.682982,0.6256829,0.6108059,0.564072,0.6967796,0.6621326,0.7279435
"G10",0.5978405,0.3535091,0.2466829,0.229679,0.2421017,0.2616876,0.2322245,0.2833719,0.3155282,0.2743649,0.3444976,0.6781785,0.6945663,0.6961881,0.6351478,0.7253711,0.7504814,0.6199275,0.6627533,0.7112645,0.6969849,0.5864137,0.6727081,0.7000763,0.6665998,0.6931781,0.8153977,0.5800091,0.641439,0.6371663,0.752239,0.6196421,0.7004939,0.7261673,0.6506876,0.6324248,0.7459357,0.6373354,0.5939219,0.7173446,0.6204315,0.7369777,0.7464546,0.1666217,0.0918277,0.1029095,0.085134,0.0802164,0.0988948,0.0803427,0.1220516,0.1571696,0.0663755,0.5742544,0.7103575,0.750324,0.7683042,0.6779843,0.7004863,0.6952332,0.5083225,0.720937,0.7452549,0.6767722,0.5336369,0.7349648,0.6436545,0.6927441,0.5920775,0.6318673,0.6291175,0.7231494,0.6542181,0.606537,0.5983199,0.7095731,0.699394,0.5800287,0.7251359,0.6740294,0.6637952,0.8109614,0.6696239,0.7376604,0.7414517,0.6512415,0.5834885,0.7332876,0.6931626,0.6622369,0.681181,0.586386,0.6108357,0.7809209,0.6740861,0.6478931,0.6390103,0.5729027,0.7107916,0.6875076,0.7132888,0.7295054,0.6626984,0.6891249,0.5656831
