"","perturbation.1.t0","perturbation.1.applied.t50","perturbation.1.applied.t100","perturbation.1.applied.t150","perturbation.1.applied.t200","perturbation.1.applied.t250","perturbation.1.applied.t300","perturbation.1.applied.t350","perturbation.1.applied.t400","perturbation.1.applied.t450","perturbation.1.applied.t500","perturbation.1.removed.t550","perturbation.1.removed.t600","perturbation.1.removed.t650","perturbation.1.removed.t700","perturbation.1.removed.t750","perturbation.1.removed.t800","perturbation.1.removed.t850","perturbation.1.removed.t900","perturbation.1.removed.t950","perturbation.1.removed.t1000","perturbation.2.t0","perturbation.2.applied.t50","perturbation.2.applied.t100","perturbation.2.applied.t150","perturbation.2.applied.t200","perturbation.2.applied.t250","perturbation.2.applied.t300","perturbation.2.applied.t350","perturbation.2.applied.t400","perturbation.2.applied.t450","perturbation.2.applied.t500","perturbation.2.removed.t550","perturbation.2.removed.t600","perturbation.2.removed.t650","perturbation.2.removed.t700","perturbation.2.removed.t750","perturbation.2.removed.t800","perturbation.2.removed.t850","perturbation.2.removed.t900","perturbation.2.removed.t950","perturbation.2.removed.t1000","perturbation.3.t0","perturbation.3.applied.t50","perturbation.3.applied.t100","perturbation.3.applied.t150","perturbation.3.applied.t200","perturbation.3.applied.t250","perturbation.3.applied.t300","perturbation.3.applied.t350","perturbation.3.applied.t400","perturbation.3.applied.t450","perturbation.3.applied.t500","perturbation.3.removed.t550","perturbation.3.removed.t600","perturbation.3.removed.t650","perturbation.3.removed.t700","perturbation.3.removed.t750","perturbation.3.removed.t800","perturbation.3.removed.t850","perturbation.3.removed.t900","perturbation.3.removed.t950","perturbation.3.removed.t1000","perturbation.4.t0","perturbation.4.applied.t50","perturbation.4.applied.t100","perturbation.4.applied.t150","perturbation.4.applied.t200","perturbation.4.applied.t250","perturbation.4.applied.t300","perturbation.4.applied.t350","perturbation.4.applied.t400","perturbation.4.applied.t450","perturbation.4.applied.t500","perturbation.4.removed.t550","perturbation.4.removed.t600","perturbation.4.removed.t650","perturbation.4.removed.t700","perturbation.4.removed.t750","perturbation.4.removed.t800","perturbation.4.removed.t850","perturbation.4.removed.t900","perturbation.4.removed.t950","perturbation.4.removed.t1000","perturbation.5.t0","perturbation.5.applied.t50","perturbation.5.applied.t100","perturbation.5.applied.t150","perturbation.5.applied.t200","perturbation.5.applied.t250","perturbation.5.applied.t300","perturbation.5.applied.t350","perturbation.5.applied.t400","perturbation.5.applied.t450","perturbation.5.applied.t500","perturbation.5.removed.t550","perturbation.5.removed.t600","perturbation.5.removed.t650","perturbation.5.removed.t700","perturbation.5.removed.t750","perturbation.5.removed.t800","perturbation.5.removed.t850","perturbation.5.removed.t900","perturbation.5.removed.t950","perturbation.5.removed.t1000"
"G1",0.4020655,0.4363248,0.5828226,0.6472253,0.6362089,0.6022782,0.6640869,0.6082777,0.694922,0.5554758,0.6427312,0.7209177,0.6811499,0.5057724,0.4758828,0.3295142,0.2799174,0.4496409,0.571716,0.3877785,0.455375,0.4581611,0.3749804,0.4217418,0.336643,0.2499014,0.2737234,0.3325111,0.2122354,0.1498301,0.2451247,0.1701566,0.1086425,0.1909836,0.1836008,0.2205513,0.3259909,0.3083667,0.3643856,0.3780011,0.3038731,0.3204307,0.3753814,0.4128723,0.4666095,0.2536035,0.2208255,0.1731898,0.0839269,0.0819336,0.1383715,0.1406981,0.1040662,0.1482449,0.1580255,0.2471858,0.2083761,0.3248987,0.3762784,0.3493271,0.34959,0.2598805,0.3292579,0.4622768,0.39173,0.3381173,0.3917937,0.5015985,0.3461782,0.3599945,0.3496215,0.396905,0.3631305,0.3139469,0.3176896,0.2775773,0.3415106,0.3215824,0.3628697,0.4539075,0.3326342,0.2950343,0.3866577,0.3795422,0.4154775,0.3998052,0.4228158,0.2796698,0.2601166,0.2210326,0.1495203,0.1732128,0.0825579,0.1796919,0.1373466,0.1292964,0.1438038,0.1448828,0.1593869,0.2722693,0.2936389,0.2817484,0.3490528,0.4882586,0.355994
"G2",0.1818982,0.4364323,0.5233391,0.6454854,0.5814366,0.5196272,0.5466201,0.7454475,0.6393925,0.6271707,0.639989,0.3935922,0.3072718,0.320069,0.3504601,0.4000239,0.3567722,0.3463174,0.3304,0.2983178,0.337162,0.2257035,0.1721153,0.2384267,0.2992705,0.3582564,0.4352257,0.4282875,0.4921822,0.4574921,0.5030642,0.5530817,0.4626247,0.3918228,0.4716362,0.5283563,0.403202,0.3713634,0.3314487,0.3031741,0.3467816,0.4023279,0.2731395,0.410826,0.4511078,0.3785132,0.4589335,0.5363456,0.4867287,0.5344316,0.5342045,0.5613535,0.5214053,0.3295195,0.2224649,0.2481481,0.3157673,0.2991065,0.4269386,0.3421725,0.3300094,0.3781386,0.3737563,0.2739902,0.2667275,0.3391996,0.3249506,0.4161926,0.4715159,0.5617206,0.571932,0.6267968,0.5449865,0.5754393,0.5533341,0.5390372,0.5323634,0.4358656,0.3821083,0.5263671,0.4640227,0.3605294,0.3092494,0.3172896,0.2397169,0.225286,0.2216793,0.4219183,0.4339671,0.4571579,0.4771082,0.508244,0.4902959,0.5261913,0.3662405,0.3948572,0.4326265,0.3623404,0.4086572,0.3675928,0.3810624,0.3494646,0.3210237,0.367232,0.2780319
"G3",0.6189904,0.5115797,0.4819272,0.5107856,0.4733529,0.4462199,0.472414,0.4626535,0.4377361,0.4323363,0.3751413,0.2971343,0.4542771,0.4902672,0.4490175,0.4233258,0.4578248,0.4825112,0.5422595,0.4800826,0.5122658,0.5626084,0.3779921,0.3972574,0.3740627,0.3941415,0.2725459,0.3225791,0.2389849,0.2301799,0.1774251,0.198474,0.217479,0.3880867,0.3491348,0.4071833,0.384565,0.3793938,0.3834731,0.4258793,0.4046684,0.4886274,0.4924589,0.6834427,0.8026225,0.8302501,0.561723,0.5986892,0.6951766,0.755851,0.7234956,0.6935609,0.6075969,0.2524939,0.2838245,0.3760222,0.4503585,0.4953523,0.5664334,0.4019056,0.4646423,0.4413683,0.5007463,0.5049955,0.5050707,0.4047053,0.3693871,0.2320298,0.2626559,0.2072139,0.2292481,0.1904602,0.116282,0.0973208,0.1543823,0.2397729,0.3521119,0.3302148,0.3419698,0.4563644,0.4073395,0.3781474,0.480779,0.5527289,0.4959669,0.4772804,0.4691466,0.3066927,0.337223,0.2474588,0.1182074,0.1164832,0.0704105,0.0318369,0.0345195,0.1118931,0.3727391,0.4109848,0.3989827,0.5976305,0.4583762,0.4464442,0.4244093,0.4899888,0.488291
"G4",0.5217162,0.4931074,0.4526215,0.4962337,0.4302699,0.3760071,0.3441481,0.384947,0.3608998,0.2593039,0.288251,0.3559519,0.3337868,0.3732963,0.5230997,0.5132245,0.4706359,0.5488616,0.682364,0.5200443,0.6288586,0.5234461,0.3989029,0.5146982,0.5049794,0.4978376,0.5161045,0.4419823,0.6026499,0.6688797,0.4694016,0.6564297,0.5202765,0.5220788,0.537482,0.5485259,0.634091,0.5282505,0.5992643,0.5594313,0.5530428,0.4825685,0.5504108,0.5153228,0.5260445,0.4069169,0.4209566,0.4269356,0.4348759,0.3719602,0.4331448,0.3229258,0.3770614,0.497608,0.5202097,0.6384507,0.6079688,0.5928709,0.5446926,0.6669623,0.6175802,0.4658781,0.5620513,0.6249459,0.4744217,0.4764002,0.5983055,0.5028434,0.5798283,0.3796762,0.6265456,0.5306555,0.4922938,0.6399764,0.6072403,0.5623406,0.5853218,0.5298032,0.63127,0.4650163,0.5377108,0.5273168,0.5225298,0.5469508,0.5857348,0.4340595,0.4788728,0.5896497,0.4785458,0.5321029,0.4430145,0.5402285,0.5916108,0.5148511,0.5708156,0.5300614,0.649305,0.6655606,0.5629326,0.5533842,0.5565289,0.5047424,0.5851851,0.4662241,0.4615893
"G5",0.4907231,0.5003681,0.4978291,0.4083757,0.6299167,0.5568129,0.6189872,0.5323968,0.5494333,0.5337823,0.6600863,0.6559882,0.5134281,0.6068543,0.5385776,0.6039315,0.5911219,0.6686194,0.6660581,0.5825919,0.4563972,0.4962692,0.4138714,0.4189727,0.5962357,0.6006902,0.4959349,0.5796291,0.722454,0.7690576,0.6797393,0.6200624,0.686967,0.7381672,0.7540388,0.6729827,0.7063365,0.5062751,0.6167971,0.5836278,0.6355353,0.7114,0.5528336,0.6676991,0.5010313,0.3619933,0.2772999,0.3059434,0.4166579,0.3569144,0.3410077,0.3062343,0.2653602,0.4016352,0.5149204,0.5986994,0.6165069,0.7173052,0.7188406,0.6155268,0.6294141,0.6778898,0.6798557,0.5980661,0.4445317,0.4995945,0.5968445,0.5502551,0.5436646,0.609809,0.6983064,0.6397052,0.6621243,0.7845733,0.6890868,0.7910078,0.7917597,0.5817015,0.7618947,0.8306083,0.5569501,0.7527701,0.6549243,0.5011731,0.7159132,0.2991923,0.1905752,0.2483347,0.1921919,0.2669531,0.2717975,0.25487,0.1894726,0.1856623,0.2419308,0.5497361,0.7127043,0.6580266,0.7517694,0.5435349,0.6009212,0.5979325,0.4682077,0.636559,0.6982929
"G6",0.2905775,0.2749598,0.1448605,0.1917342,0.1826084,0.1847347,0.1333799,0.1684435,0.1807243,0.139825,0.1610797,0.1435763,0.1728621,0.1610699,0.2162442,0.2789384,0.1785243,0.2328851,0.1885172,0.263764,0.2798345,0.3031174,0.1349825,0.0893447,0.0909483,0.1002908,0.0883061,0.1042859,0.0801769,0.0294109,0.0170679,0.0579434,0.1380456,0.1903453,0.1410568,0.2159573,0.1807786,0.1494583,0.1835932,0.2000035,0.2463763,0.1695935,0.2497045,0.0547135,0.0049656,0.0018238,0.0050604,0,0.0008128,0.0021149,0.0045912,0.0024807,0.0097834,0.217514,0.2065279,0.2447022,0.2497602,0.2021067,0.2682669,0.2694023,0.1984135,0.2826555,0.2811664,0.2090449,0.1085587,0.0440034,0.1184832,0.0607406,0.106482,0.0997197,0.0168772,0.0312366,0.0170739,0.0172957,0.1381619,0.2286686,0.2073935,0.2543697,0.1767671,0.1406848,0.1837112,0.3376283,0.2105299,0.1652408,0.2492899,0.0780607,0.0370747,0.0342564,0.0157752,0.0137025,0.0185902,0.0297369,0.012741,0.0186152,0.0410638,0.14637,0.2223647,0.2054626,0.2469109,0.1459306,0.1968859,0.2106636,0.2318231,0.2631575,0.2285201
"G7",0.1509204,0.1640983,0.1015871,0.0491273,0.0729222,0.1195612,0.1056122,0.1185463,0.1433115,0.0836002,0.0683721,0.0673398,0.1486704,0.2126799,0.2289655,0.2524047,0.1855295,0.1574845,0.193527,0.185037,0.3016499,0.229757,0.2571892,0.227383,0.2299888,0.2538753,0.381723,0.3229573,0.3879428,0.3922417,0.4389081,0.5170096,0.4354429,0.3714182,0.2478276,0.2313885,0.2902479,0.186049,0.2234273,0.1898287,0.2271572,0.2147251,0.2031089,0.2605451,0.3382582,0.5213052,0.4980194,0.4779268,0.5533641,0.5454638,0.5492718,0.5879963,0.4723995,0.381806,0.2864829,0.3083637,0.2064386,0.1758729,0.2531306,0.2320185,0.1866882,0.1871052,0.2795934,0.2192776,0.2144239,0.1774869,0.2435374,0.2384169,0.1596687,0.2197562,0.2248515,0.2961576,0.2475676,0.2697793,0.2455261,0.225128,0.2006727,0.1482648,0.2099795,0.3137276,0.2163986,0.3034038,0.2486793,0.2428173,0.2134736,0.237341,0.2910859,0.3250989,0.3999873,0.5092015,0.4619693,0.5190388,0.5457448,0.4045781,0.4869037,0.5243733,0.2778267,0.3540231,0.2321264,0.2148203,0.2275673,0.219228,0.2271304,0.3144062,0.2426274
"G8",0.6901824,0.6480961,0.597029,0.3936219,0.255073,0.2460792,0.2576001,0.3332697,0.3101953,0.3174771,0.2588839,0.1771854,0.383553,0.4128781,0.5734423,0.6674105,0.6880692,0.682288,0.6272281,0.6834992,0.548101,0.6937642,0.6084279,0.6244499,0.672415,0.6930115,0.6135368,0.768153,0.6951728,0.5447963,0.6046885,0.6446692,0.7599951,0.7588362,0.7727969,0.818096,0.7499797,0.7989865,0.5304807,0.7054883,0.6526798,0.7761787,0.7187899,0.6719379,0.7039131,0.6761976,0.6846213,0.668218,0.6279706,0.7784196,0.7321419,0.6510095,0.7384869,0.6248151,0.5971917,0.5965408,0.6831261,0.6868844,0.6466288,0.6536692,0.6614563,0.740694,0.7256188,0.6377902,0.6511738,0.7384922,0.5978243,0.6504466,0.6592695,0.7405029,0.7556657,0.6560485,0.7967832,0.6521313,0.7693894,0.934878,0.7701258,0.9323727,0.6740742,0.6891096,0.7007968,0.662131,0.6631811,0.5530976,0.5831228,0.6571817,0.7543102,0.6136467,0.7977978,0.6534619,0.6907217,0.6414852,0.6433934,0.672343,0.7803673,0.7676792,0.7045326,0.6928945,0.6440414,0.632814,0.6545913,0.7125327,0.6537432,0.7866398,0.6139216
"G9",0.6501443,0.795732,0.6764022,0.6647488,0.6578963,0.6638962,0.8637592,0.8719448,0.6377243,0.5832099,0.6815485,0.7487243,0.7432864,0.8034022,0.6037372,0.6157359,0.6823212,0.7425262,0.6415955,0.7856939,0.6896785,0.7460558,0.7336594,0.7659092,0.7115874,0.7071899,0.6027426,0.7497043,0.5696459,0.6707433,0.7396351,0.7463829,0.7368369,0.7034884,0.8335992,0.7380908,0.7315655,0.6865393,0.7531501,0.6671898,0.5798259,0.6494364,0.7414678,0.7244312,0.6302155,0.7067202,0.7359912,0.8438427,0.704918,0.5931118,0.7157909,0.7429989,0.6727628,0.7077697,0.8499153,0.7094135,0.5833323,0.7290777,0.6489941,0.8482687,0.8341271,0.8412317,0.6658837,0.5971471,0.6236274,0.7835681,0.6952587,0.7701659,0.7296266,0.6910795,0.8214512,0.9165796,0.6698806,0.5648576,0.8387348,0.6545315,0.7454259,0.5879291,0.7277143,0.9006821,0.8086392,0.6025562,0.6292445,0.7751473,0.6744936,0.667084,0.6734133,0.8646771,0.7954159,0.7628979,0.6915134,0.6617624,0.7588571,0.6668932,0.7375738,0.7473611,0.8560382,0.8424522,0.9100941,0.6182821,0.9551114,0.7902754,0.7057026,0.6795116,0.7335369
"G10",0.6842189,0.3211695,0.1299197,0.233528,0.1916066,0.2069549,0.153524,0.1613596,0.1392038,0.1652428,0.2651667,0.4918322,0.7008279,0.7195646,0.6801855,0.694597,0.8389318,0.6488367,0.7877264,0.7201087,0.7397151,0.6489106,0.5937868,0.6869227,0.7537252,0.6633972,0.7013935,0.6814064,0.6763535,0.708869,0.7300632,0.5746864,0.7024002,0.6360046,0.671871,0.6705129,0.7873828,0.6934347,0.6597792,0.7317269,0.7199275,0.7639298,0.6080243,0.7441951,0.7165135,0.6283813,0.7347127,0.754845,0.7643248,0.6625452,0.7154377,0.9195539,0.8974874,0.7103603,0.6488469,0.7529024,0.7092157,0.7777224,0.7497142,0.509219,0.738934,0.7838473,0.7534587,0.5649679,0.2355631,0.0833484,0.0403769,0.0595733,0.0607981,0.0444378,0.0676567,0.044065,0.065679,0.0786705,0.5432584,0.6569043,0.6581175,0.6016777,0.6278609,0.7225885,0.7315596,0.742226,0.7648059,0.7161819,0.7201893,0.5411725,0.5677904,0.6147728,0.7332679,0.8036094,0.7784938,0.7923966,0.6711555,0.5738433,0.5606448,0.7279286,0.7265287,0.8574016,0.7076795,0.6092727,0.6907856,0.6939599,0.6938187,0.7100374,0.6613777
