"","perturbation.1.t0","perturbation.1.applied.t50","perturbation.1.applied.t100","perturbation.1.applied.t150","perturbation.1.applied.t200","perturbation.1.applied.t250","perturbation.1.applied.t300","perturbation.1.applied.t350","perturbation.1.applied.t400","perturbation.1.applied.t450","perturbation.1.applied.t500","perturbation.1.removed.t550","perturbation.1.removed.t600","perturbation.1.removed.t650","perturbation.1.removed.t700","perturbation.1.removed.t750","perturbation.1.removed.t800","perturbation.1.removed.t850","perturbation.1.removed.t900","perturbation.1.removed.t950","perturbation.1.removed.t1000","perturbation.2.t0","perturbation.2.applied.t50","perturbation.2.applied.t100","perturbation.2.applied.t150","perturbation.2.applied.t200","perturbation.2.applied.t250","perturbation.2.applied.t300","perturbation.2.applied.t350","perturbation.2.applied.t400","perturbation.2.applied.t450","perturbation.2.applied.t500","perturbation.2.removed.t550","perturbation.2.removed.t600","perturbation.2.removed.t650","perturbation.2.removed.t700","perturbation.2.removed.t750","perturbation.2.removed.t800","perturbation.2.removed.t850","perturbation.2.removed.t900","perturbation.2.removed.t950","perturbation.2.removed.t1000","perturbation.3.t0","perturbation.3.applied.t50","perturbation.3.applied.t100","perturbation.3.applied.t150","perturbation.3.applied.t200","perturbation.3.applied.t250","perturbation.3.applied.t300","perturbation.3.applied.t350","perturbation.3.applied.t400","perturbation.3.applied.t450","perturbation.3.applied.t500","perturbation.3.removed.t550","perturbation.3.removed.t600","perturbation.3.removed.t650","perturbation.3.removed.t700","perturbation.3.removed.t750","perturbation.3.removed.t800","perturbation.3.removed.t850","perturbation.3.removed.t900","perturbation.3.removed.t950","perturbation.3.removed.t1000","perturbation.4.t0","perturbation.4.applied.t50","perturbation.4.applied.t100","perturbation.4.applied.t150","perturbation.4.applied.t200","perturbation.4.applied.t250","perturbation.4.applied.t300","perturbation.4.applied.t350","perturbation.4.applied.t400","perturbation.4.applied.t450","perturbation.4.applied.t500","perturbation.4.removed.t550","perturbation.4.removed.t600","perturbation.4.removed.t650","perturbation.4.removed.t700","perturbation.4.removed.t750","perturbation.4.removed.t800","perturbation.4.removed.t850","perturbation.4.removed.t900","perturbation.4.removed.t950","perturbation.4.removed.t1000","perturbation.5.t0","perturbation.5.applied.t50","perturbation.5.applied.t100","perturbation.5.applied.t150","perturbation.5.applied.t200","perturbation.5.applied.t250","perturbation.5.applied.t300","perturbation.5.applied.t350","perturbation.5.applied.t400","perturbation.5.applied.t450","perturbation.5.applied.t500","perturbation.5.removed.t550","perturbation.5.removed.t600","perturbation.5.removed.t650","perturbation.5.removed.t700","perturbation.5.removed.t750","perturbation.5.removed.t800","perturbation.5.removed.t850","perturbation.5.removed.t900","perturbation.5.removed.t950","perturbation.5.removed.t1000"
"G1",0.7092469,0.2279885,0.0801993,0.0076769,0.0046517,0.0030494,0.0007902,0,0.0020354,0.0024292,0.0054129,0.1711558,0.2723419,0.2773261,0.3678225,0.3377845,0.5431204,0.682752,0.6940997,0.743857,0.77381,0.8396094,0.6872653,0.5924297,0.5410159,0.3164594,0.19887,0.2226087,0.1948528,0.2413553,0.1977449,0.2140426,0.1996716,0.189173,0.3212475,0.2542126,0.1707161,0.1885359,0.2594151,0.2941869,0.1752288,0.2368829,0.7337627,0.792972,0.7718579,0.6560507,0.7629795,0.5079575,0.3456871,0.3306156,0.2189578,0.2255381,0.2829362,0.1797507,0.2891588,0.2056007,0.2518923,0.2398927,0.2389851,0.4923252,0.6560876,0.5091502,0.7025527,0.8196661,0.6752079,0.6544522,0.5412243,0.3912231,0.3439568,0.2632589,0.3250795,0.1978778,0.2119435,0.195472,0.286707,0.2832238,0.3752776,0.5271666,0.653531,0.6074678,0.5815066,0.5068927,0.5921736,0.6208871,0.7486909,0.704079,0.5994465,0.6807024,0.6634007,0.6395483,0.7034957,0.7673051,0.5923688,0.7041182,0.7603568,0.7989458,0.5603891,0.4243766,0.3995293,0.5764221,0.6527789,0.6216837,0.7191424,0.73278,0.6503801
"G2",0.5224476,0.8480507,0.7926468,0.5559337,0.6365198,0.7041884,0.6534565,0.6678519,0.6222983,0.5475092,0.663023,0.5167935,0.4934737,0.3875138,0.5297701,0.6483221,0.7401993,0.6474275,0.6469341,0.627269,0.8772177,0.6604305,0.6448971,0.7063973,0.6288132,0.4953162,0.4587908,0.3071169,0.2800397,0.2789238,0.2447755,0.2769031,0.2932163,0.3291841,0.4156824,0.4671011,0.2963102,0.5110976,0.4818306,0.5648216,0.4230195,0.6574972,0.6048295,0.5095489,0.6886984,0.6391251,0.5077966,0.5185762,0.4171021,0.4552498,0.3769589,0.4699844,0.4907957,0.3628349,0.3976324,0.4323945,0.4427296,0.4325082,0.6425913,0.5942447,0.7142134,0.6477703,0.6165971,0.6258468,0.7594893,0.7675325,0.6165999,0.6013822,0.5281768,0.5180844,0.4493017,0.4476881,0.2971015,0.5425136,0.3552149,0.4564208,0.4965184,0.6396812,0.5377897,0.5711786,0.6249487,0.7673761,0.6562528,0.5848911,0.7233217,0.5907299,0.6489979,0.6158338,0.7473214,0.7192954,0.5579385,0.5801677,0.6371882,0.6962709,0.5184416,0.5970408,0.6283081,0.6127509,0.6634322,0.6137575,0.6393144,0.5996797,0.7195348,0.6773439,0.6423655
"G3",0.6308975,0.5616334,0.4793057,0.5055724,0.4290587,0.3878433,0.3570323,0.3983808,0.3293948,0.4522891,0.33898,0.1290566,0.2056737,0.3298308,0.3404658,0.4230574,0.4644329,0.4311327,0.5141009,0.5306476,0.4257496,0.5053606,0.363525,0.2193299,0.1171204,0.0936637,0.0943112,0.0458077,0.0569693,0.0574876,0.1042191,0.0878167,0.0361746,0.2251707,0.3672087,0.3971839,0.4087823,0.4256034,0.514509,0.4193384,0.6278638,0.4144883,0.4643123,0.4111749,0.2754534,0.2472888,0.0887402,0.1933113,0.1544789,0.1850312,0.1198756,0.101005,0.0905658,0.1866625,0.3284364,0.2910667,0.2735828,0.4352115,0.4932052,0.344291,0.4531458,0.485244,0.371913,0.4275544,0.4780051,0.309383,0.2363249,0.1306104,0.1474179,0.1371519,0.0957265,0.1143196,0.1237322,0.1428108,0.1570802,0.2875349,0.3812652,0.4141317,0.4360782,0.3980025,0.4771217,0.5780678,0.4605847,0.4098903,0.5474194,0.604124,0.5808105,0.4948787,0.4434911,0.4688282,0.4956846,0.4765815,0.5518884,0.5224126,0.4904839,0.3813979,0.5145986,0.3824275,0.5139549,0.4858747,0.4292932,0.4645137,0.4028013,0.4053941,0.486899
"G4",0.1394379,0.1339598,0.1401007,0.1414032,0.144238,0.2170082,0.1620024,0.2329352,0.1401137,0.2221978,0.1994935,0.238646,0.5124503,0.4279655,0.1706617,0.1996225,0.1661308,0.1678336,0.0979928,0.1580536,0.135219,0.1189134,0.1758945,0.1281061,0.2914947,0.4117774,0.5981852,0.621178,0.600442,0.5449998,0.6025479,0.678189,0.680429,0.729457,0.4041897,0.2046749,0.1671861,0.1737534,0.1148685,0.1933904,0.1460546,0.1599815,0.1535654,0.1567122,0.1943695,0.210748,0.3960233,0.56207,0.6801408,0.6853158,0.6072668,0.6356838,0.6331058,0.707946,0.4162635,0.3466827,0.2026224,0.1669657,0.1932176,0.1948257,0.22668,0.1888674,0.1834832,0.1343295,0.1155197,0.1820262,0.1605546,0.398367,0.4793229,0.5620525,0.6096146,0.6056962,0.5448305,0.6195589,0.5198478,0.3389959,0.226195,0.1399552,0.2000445,0.1879024,0.186536,0.1568298,0.1879043,0.125535,0.1287951,0.1258931,0.1359235,0.1402274,0.1179294,0.2248689,0.2135761,0.1426559,0.1394248,0.1402633,0.134721,0.1996787,0.1619354,0.2555649,0.2118807,0.1369272,0.1346418,0.2417352,0.1424278,0.1410077,0.1438462
"G5",0.0401847,0.195175,0.1725278,0.2251933,0.2037084,0.1931549,0.1946324,0.2132886,0.2295281,0.2225955,0.2229585,0.0933586,0.1023341,0.0670788,0.0732647,0.0504563,0.0485749,0.0837323,0.0233627,0.0307731,0.044157,0.0352375,0.049305,0.0996286,0.062577,0.1890896,0.4498015,0.6323616,0.6055373,0.7263455,0.6684394,0.5967365,0.7520348,0.58738,0.619167,0.3393695,0.1568314,0.1246303,0.1330679,0.0606811,0.0674464,0.0431344,0.0813993,0.208785,0.1843468,0.3205404,0.2353642,0.2798618,0.3100436,0.3488833,0.2996107,0.291628,0.2733654,0.1133345,0.0826884,0.0449031,0.090718,0.0369466,0.0334902,0.0726155,0.0590028,0.0811217,0.0859556,0.0395386,0.0775133,0.0755614,0.0205437,0.053122,0.0419726,0.042185,0.0644122,0.070581,0.0469943,0.0361319,0.0397012,0.0497244,0.0506497,0.0267939,0.0220214,0.0549372,0.0629813,0.0734124,0.0350396,0.0429783,0.0459942,0.023548,0.0486927,0.0726006,0.0523048,0.0302937,0.0376142,0.0430978,0.0408289,0.0508607,0.0803537,0.0626515,0.1029486,0.0595879,0.0355816,0.0669572,0.0462359,0.0281811,0.0700227,0.0565989,0.0737611
"G6",0.0729688,0.0426242,0.1679281,0.2943288,0.4379994,0.5146696,0.572915,0.6265009,0.6487877,0.6771274,0.7105209,0.5384948,0.4604518,0.2533635,0.1152364,0.1003344,0.0717976,0.0827456,0.0619674,0.0724464,0.0625995,0.0443375,0.0866095,0.0522393,0.0463337,0.0680516,0.3814168,0.5292485,0.6795996,0.6708697,0.7234814,0.7165491,0.8852768,0.7070213,0.7768229,0.741075,0.7216973,0.6099163,0.5059167,0.2910781,0.1516438,0.0832606,0.0934484,0.248502,0.4190367,0.4756634,0.6338839,0.6858642,0.6420086,0.6090729,0.6897843,0.658458,0.814886,0.6424798,0.5467177,0.460584,0.233501,0.1147004,0.0559279,0.0777657,0.0626074,0.051461,0.0508523,0.0858597,0.0621555,0.0662428,0.0518276,0.0374083,0.0916513,0.0671023,0.0887178,0.0514207,0.0579252,0.0497217,0.0533049,0.0339943,0.0509604,0.0700949,0.0349406,0.0273886,0.0436681,0.1178872,0.0772433,0.0440719,0.0855342,0.3893785,0.5078794,0.4342329,0.4543103,0.4528611,0.4711681,0.584485,0.4938015,0.551223,0.5849481,0.2204854,0.1038271,0.1435799,0.1019106,0.0616565,0.0731703,0.0669515,0.0633682,0.0626759,0.0534251
"G7",0.0202207,0.0199029,0.0143681,0.0158604,0.040876,0.0399287,0.1067147,0.1203489,0.121491,0.1454972,0.0953964,0.171072,0.1020648,0.0829018,0.0545922,0.0376924,0.0420719,0.0142945,0.0623193,0.0195935,0.0144691,0.0361835,0.0266112,0.1153577,0.4009129,0.5365764,0.796885,0.6886153,0.744847,0.6873782,0.7660633,0.7017519,0.5932153,0.4290015,0.3300365,0.1918147,0.1279906,0.1542833,0.2218021,0.1810012,0.1044955,0.0591512,0.0271784,0.0094205,0.0248736,0.0546455,0.1000086,0.1659589,0.1421894,0.2089033,0.1724267,0.2498361,0.1899118,0.2468079,0.1729202,0.1667411,0.145775,0.100686,0.0414617,0.0329961,0.0787728,0.0111701,0.0422171,0.0153988,0.0336766,0.0672242,0.1175679,0.1605869,0.1407663,0.1169966,0.0604705,0.1279238,0.1567792,0.1259602,0.0931174,0.0219816,0.0180718,0.0154161,0.0313183,0.0054047,0.0240279,0.005449,0.0180486,0.0404184,0.0185841,0.0296442,0.0280436,0.0307467,0.1054555,0.1111474,0.0556751,0.0958112,0.0972429,0.2424539,0.1487571,0.101965,0.1532022,0.0445716,0.0431739,0.0313575,0.0370543,0.0343497,0.0133025,0.0132732,0.0154651
"G8",0.4621819,0.5920428,0.3962421,0.3550142,0.2613854,0.1716148,0.1186897,0.1852291,0.135559,0.1402195,0.1054482,0.1654855,0.2401202,0.206907,0.3984684,0.4460689,0.4625482,0.4413539,0.4838791,0.5152918,0.6181626,0.5269756,0.1016911,0.0588285,0.0171637,0.0239576,0.0142807,0.0133793,0.0117709,0.0009981,0.0056397,0.0033398,0.0893901,0.1202935,0.1408433,0.1502125,0.1608155,0.1585673,0.1965922,0.2090872,0.2820552,0.4055863,0.5002206,0.4291373,0.2603402,0.1728095,0.1795366,0.2246384,0.1322,0.1945667,0.0975289,0.1366965,0.1186882,0.095074,0.1353189,0.1513007,0.1468956,0.2626762,0.4609646,0.5512967,0.6096523,0.6412587,0.5742368,0.5474253,0.1977621,0.1433478,0.1822476,0.1311502,0.2009994,0.2034098,0.2194704,0.1543746,0.1500386,0.1847967,0.5551999,0.5944062,0.6009838,0.533009,0.753603,0.5413572,0.6049338,0.6298151,0.5304989,0.6506816,0.5060053,0.4507541,0.2623196,0.1677509,0.1591228,0.135964,0.1424138,0.147843,0.1190366,0.155741,0.1312809,0.2012554,0.354556,0.4169506,0.5326386,0.4668063,0.5437899,0.4967864,0.5877937,0.5656351,0.7203515
"G9",0.2101934,0.1984816,0.1801327,0.1072519,0.1924393,0.2518462,0.3888936,0.5708313,0.7595672,0.6721874,0.6875381,0.5893198,0.5552801,0.5457649,0.6677637,0.4224113,0.3306149,0.2239196,0.2545811,0.1926089,0.2807829,0.251199,0.2784697,0.5220974,0.5882246,0.7705534,0.7633775,0.7473196,0.7985521,0.6638145,0.6207817,0.7627135,0.6837912,0.5984669,0.6376225,0.7856574,0.7803932,0.7076104,0.53764,0.6221331,0.527387,0.476666,0.1700318,0.1155608,0.1254005,0.192604,0.5869816,0.4917061,0.6626559,0.6227961,0.7424368,0.6131479,0.6555833,0.7216798,0.8052905,0.6331774,0.6081049,0.6109259,0.3614091,0.2589166,0.2746417,0.2102886,0.1975185,0.1421867,0.256455,0.3673358,0.4439044,0.7338921,0.7352499,0.5707911,0.6843876,0.6555086,0.6268837,0.6014439,0.639162,0.3910088,0.3289784,0.2860424,0.264675,0.3763676,0.2975716,0.2148692,0.4045765,0.3942687,0.1203817,0.0681349,0.0297624,0.0551804,0.0547147,0.0920244,0.0758176,0.0784034,0.0764346,0.108772,0.055038,0.4522243,0.6815563,0.4910759,0.3241218,0.2564291,0.2101022,0.2119273,0.2557706,0.2304613,0.2283827
"G10",0.6554687,0.2171273,0.1219033,0.0779711,0.0654002,0.0382168,0.0733433,0.0932096,0.0701113,0.0497246,0.0920467,0.6613765,0.62702,0.7794413,0.8008171,0.8041226,0.6930648,0.6972899,0.6615482,0.6548265,0.9060561,0.7486017,0.3131841,0.2349447,0.2459202,0.2397455,0.214763,0.2469607,0.2302935,0.2253598,0.1719857,0.2000984,0.5603454,0.6985843,0.647166,0.7772003,0.6899571,0.7060129,0.7674529,0.6842898,0.8021232,0.788125,0.6247322,0.3967793,0.3220576,0.3780545,0.4276217,0.3449484,0.4215826,0.3630223,0.3376796,0.3252247,0.3674116,0.6688979,0.7416548,0.6228871,0.5755023,0.7279572,0.7158481,0.7249322,0.8817825,0.6864717,0.5919605,0.6622512,0.4557365,0.4125779,0.4008946,0.351023,0.3700809,0.404023,0.3550494,0.397817,0.3529273,0.4163339,0.7608275,0.6812163,0.6588147,0.8618668,0.6828334,0.6702343,0.7865679,0.70578,0.7562438,0.8640166,0.6744237,0.6194901,0.7107903,0.7983632,0.6790366,0.5864934,0.9329508,0.831459,0.7131165,0.6851937,0.707305,0.6045179,0.6337247,0.6663403,0.5874736,0.6764213,0.700476,0.7758961,0.8082554,0.7165297,0.9404852
