sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.134351556512336;0.636774909041856;0.3855632327;0 days 00:00:02.088280746
BC3NET;0.0632228609290941;0.561145083412916;0.3121839721;0 days 00:04:57.944573212
C3NET;0.126411507191871;0.628025784519998;0.3772186458;0 days 00:00:13.822067870
CLR;0.1254321232456;0.626375002871457;0.3759035630;0 days 00:00:02.131701669
KBOOST;0.00520406476369916;0.401960220985306;0.2035821428;0 days 00:02:55.005190852
LEAP;0.023103245088899;0.525460356538315;0.2742818008;0 days 00:00:51.122076182
MRNETB;0.102765875423529;0.629450715324209;0.3661082953;0 days 00:00:03.107150997
MRNET;0.133996160967539;0.630566146073623;0.3822811535;0 days 00:00:02.284781536
NARROMI;0.0135486115554246;0.505095507948345;0.2593220597;0 days 00:00:23.156109677
PCIT;0.00308466660355328;0.5;0.2515423333;0 days 00:00:15.950359520
PIDC;0.0211098119790986;0.686936697301276;0.3540232546;0 days 00:01:03.229321133
PUC;0.0371667162113085;0.689597138885316;0.3633819275;0 days 00:00:50.627127043
RSNET;0.106255108155468;0.632172148172645;0.3692136281;0 days 00:00:23.953976743
