sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp;sim_BioGrid_Human_Herpesvirus_4_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.134351556512336;0.636774909041856;0.3855632327
BC3NET;0.0632228609290941;0.561145083412916;0.3121839721
C3NET;0.126411507191871;0.628025784519998;0.3772186458
CLR;0.1254321232456;0.626375002871457;0.375903563
KBOOST;0.0052040647636991;0.401960220985306;0.2035821428
LEAP;0.023103245088899;0.525460356538315;0.2742818008
MRNETB;0.102765875423529;0.629450715324209;0.3661082953
MRNET;0.133996160967539;0.630566146073623;0.3822811535
NARROMI;0.0135486115554246;0.505095507948345;0.2593220597
PCIT;0.0030846666035532;0.5;0.2515423333
PIDC;0.0211098119790986;0.686936697301276;0.3540232546
PUC;0.0371667162113085;0.689597138885316;0.3633819275
RSNET;0.106255108155468;0.632172148172645;0.3692136281
BEST_GENECI;0.101136923704752;0.703814822951781;0.4024758733282665
MEDIAN_GENECI;0.0378685059771111;0.690958700302163;0.364413603139637
MEAN;0.0806496952285509;0.703994669766255;0.39232218249740297
MEDIAN;0.12849087748851;0.616955925690437;0.3727234015894735
